archetype,memory_mb,image_size_mb,invocation_frequency_numeric,traffic_cv,duration_tier_numeric,lambda_cost,fargate_cost,cost_diff,lambda_cheaper
batch-transform,512,50,1000,0.5,500,0.000106,0.03703,-0.036924,1
batch-transform,512,50,1000,0.5,2000,9.6e-05,0.03703,-0.036934,1
batch-transform,512,50,1000,0.5,5000,9.9e-05,0.03703,-0.036931,1
batch-transform,512,50,1000,2.0,500,0.000135,0.03703,-0.036895,1
batch-transform,512,50,1000,2.0,2000,0.000165,0.03703,-0.036865,1
batch-transform,512,50,1000,2.0,5000,0.00015,0.037031,-0.036881000000000004,1
batch-transform,512,50,1000,4.0,500,0.00017,0.037031,-0.036861000000000005,1
batch-transform,512,50,1000,4.0,2000,0.000168,0.037031,-0.036863,1
batch-transform,512,50,1000,4.0,5000,0.000179,0.03703,-0.036851,1
batch-transform,512,50,10000,0.5,500,0.000604,0.037051,-0.036447,1
batch-transform,512,50,10000,0.5,2000,0.000606,0.037054,-0.036447999999999994,1
batch-transform,512,50,10000,0.5,5000,0.000606,0.037054,-0.036447999999999994,1
batch-transform,512,50,10000,2.0,500,0.000557,0.037054,-0.036496999999999995,1
batch-transform,512,50,10000,2.0,2000,0.000497,0.037054,-0.036557,1
batch-transform,512,50,10000,2.0,5000,0.000687,0.037054,-0.036367,1
batch-transform,512,50,10000,4.0,500,0.000597,0.037054,-0.036456999999999996,1
batch-transform,512,50,10000,4.0,2000,0.000607,0.037055,-0.036447999999999994,1
batch-transform,512,50,10000,4.0,5000,0.000596,0.037055,-0.036459,1
batch-transform,512,50,50000,0.5,500,0.00271,0.037147,-0.034437,1
batch-transform,512,50,50000,0.5,2000,0.002762,0.037158,-0.034395999999999996,1
batch-transform,512,50,50000,0.5,5000,0.002749,0.037152,-0.034402999999999996,1
batch-transform,512,50,50000,2.0,500,0.00279,0.037159,-0.034369,1
batch-transform,512,50,50000,2.0,2000,0.002734,0.037159,-0.034425,1
batch-transform,512,50,50000,2.0,5000,0.002728,0.037152,-0.034423999999999996,1
batch-transform,512,50,50000,4.0,500,0.002976,0.037161,-0.034185,1
batch-transform,512,50,50000,4.0,2000,0.002661,0.037156,-0.034495,1
batch-transform,512,50,50000,4.0,5000,0.003056,0.037151,-0.034095,1
batch-transform,512,50,100000,0.5,500,0.005519,0.037274,-0.031755000000000005,1
batch-transform,512,50,100000,0.5,2000,0.005388,0.037284,-0.031895999999999994,1
batch-transform,512,50,100000,0.5,5000,0.005497,0.037239,-0.031742,1
batch-transform,512,50,100000,2.0,500,0.005365,0.037284,-0.031918999999999996,1
batch-transform,512,50,100000,2.0,2000,0.005452,0.037307,-0.031855,1
batch-transform,512,50,100000,2.0,5000,0.005331,0.037269,-0.031937999999999994,1
batch-transform,512,50,100000,4.0,500,0.005231,0.037329,-0.032098,1
batch-transform,512,50,100000,4.0,2000,0.005529,0.037321,-0.031792,1
batch-transform,512,50,100000,4.0,5000,0.005495,0.037269,-0.031774,1
batch-transform,512,250,1000,0.5,500,9.5e-05,0.03703,-0.036935,1
batch-transform,512,250,1000,0.5,2000,9.6e-05,0.03703,-0.036934,1
batch-transform,512,250,1000,0.5,5000,0.0001,0.03703,-0.03693,1
batch-transform,512,250,1000,2.0,500,0.000168,0.03703,-0.036862,1
batch-transform,512,250,1000,2.0,2000,0.000186,0.03703,-0.036844,1
batch-transform,512,250,1000,2.0,5000,0.000164,0.037031,-0.036867000000000004,1
batch-transform,512,250,1000,4.0,500,0.000184,0.037031,-0.036847000000000005,1
batch-transform,512,250,1000,4.0,2000,0.000141,0.037031,-0.03689,1
batch-transform,512,250,1000,4.0,5000,0.000162,0.03703,-0.036868,1
batch-transform,512,250,10000,0.5,500,0.000617,0.037048,-0.036431,1
batch-transform,512,250,10000,0.5,2000,0.000604,0.037053,-0.036449,1
batch-transform,512,250,10000,0.5,5000,0.000608,0.037053,-0.036445000000000005,1
batch-transform,512,250,10000,2.0,500,0.000544,0.037052,-0.036508,1
batch-transform,512,250,10000,2.0,2000,0.000621,0.037053,-0.036432000000000006,1
batch-transform,512,250,10000,2.0,5000,0.000629,0.037053,-0.036424000000000005,1
batch-transform,512,250,10000,4.0,500,0.000871,0.037052,-0.036181000000000005,1
batch-transform,512,250,10000,4.0,2000,0.000674,0.037053,-0.036379,1
batch-transform,512,250,10000,4.0,5000,0.00061,0.037054,-0.036444,1
batch-transform,512,250,50000,0.5,500,0.002807,0.037128,-0.034321000000000004,1
batch-transform,512,250,50000,0.5,2000,0.002764,0.037153,-0.034388999999999996,1
batch-transform,512,250,50000,0.5,5000,0.002712,0.037147,-0.034435,1
batch-transform,512,250,50000,2.0,500,0.002948,0.037152,-0.034204,1
batch-transform,512,250,50000,2.0,2000,0.002784,0.037154,-0.03437,1
batch-transform,512,250,50000,2.0,5000,0.002725,0.037148,-0.034423,1
batch-transform,512,250,50000,4.0,500,0.002603,0.037155,-0.034552,1
batch-transform,512,250,50000,4.0,2000,0.002943,0.037151,-0.034208,1
batch-transform,512,250,50000,4.0,5000,0.002694,0.037145,-0.034450999999999996,1
batch-transform,512,250,100000,0.5,500,0.005416,0.037247,-0.031831000000000005,1
batch-transform,512,250,100000,0.5,2000,0.005515,0.037274,-0.031759,1
batch-transform,512,250,100000,0.5,5000,0.00553,0.037233,-0.031703,1
batch-transform,512,250,100000,2.0,500,0.005475,0.037271,-0.031796,1
batch-transform,512,250,100000,2.0,2000,0.005236,0.037307,-0.032071,1
batch-transform,512,250,100000,2.0,5000,0.005034,0.037269,-0.032235,1
batch-transform,512,250,100000,4.0,500,0.005764,0.037329,-0.031565,1
batch-transform,512,250,100000,4.0,2000,0.005363,0.037321,-0.031958,1
batch-transform,512,250,100000,4.0,5000,0.00511,0.037269,-0.03215899999999999,1
batch-transform,2048,50,1000,0.5,500,0.000288,0.148113,-0.14782499999999998,1
batch-transform,2048,50,1000,0.5,2000,0.000324,0.148113,-0.147789,1
batch-transform,2048,50,1000,0.5,5000,0.000364,0.148113,-0.147749,1
batch-transform,2048,50,1000,2.0,500,0.000521,0.148113,-0.147592,1
batch-transform,2048,50,1000,2.0,2000,0.000535,0.148113,-0.147578,1
batch-transform,2048,50,1000,2.0,5000,0.000624,0.148113,-0.14748899999999998,1
batch-transform,2048,50,1000,4.0,500,0.000695,0.148113,-0.147418,1
batch-transform,2048,50,1000,4.0,2000,0.000435,0.148114,-0.147679,1
batch-transform,2048,50,1000,4.0,5000,0.00063,0.148113,-0.147483,1
batch-transform,2048,50,10000,0.5,500,0.001744,0.148134,-0.14639,1
batch-transform,2048,50,10000,0.5,2000,0.001784,0.148136,-0.14635199999999998,1
batch-transform,2048,50,10000,0.5,5000,0.001839,0.148136,-0.14629699999999998,1
batch-transform,2048,50,10000,2.0,500,0.001979,0.148136,-0.14615699999999998,1
batch-transform,2048,50,10000,2.0,2000,0.001719,0.148137,-0.146418,1
batch-transform,2048,50,10000,2.0,5000,0.001866,0.148137,-0.14627099999999998,1
batch-transform,2048,50,10000,4.0,500,0.001481,0.148136,-0.14665499999999998,1
batch-transform,2048,50,10000,4.0,2000,0.001679,0.148137,-0.14645799999999998,1
batch-transform,2048,50,10000,4.0,5000,0.00195,0.148139,-0.14618899999999999,1
batch-transform,2048,50,50000,0.5,500,0.007963,0.148236,-0.140273,1
batch-transform,2048,50,50000,0.5,2000,0.008048,0.148242,-0.140194,1
batch-transform,2048,50,50000,0.5,5000,0.008194,0.148237,-0.140043,1
batch-transform,2048,50,50000,2.0,500,0.008367,0.148244,-0.13987699999999997,1
batch-transform,2048,50,50000,2.0,2000,0.007989,0.148244,-0.140255,1
batch-transform,2048,50,50000,2.0,5000,0.008194,0.148237,-0.140043,1
batch-transform,2048,50,50000,4.0,500,0.007322,0.148247,-0.140925,1
batch-transform,2048,50,50000,4.0,2000,0.007567,0.148242,-0.14067500000000002,1
batch-transform,2048,50,50000,4.0,5000,0.008611,0.148238,-0.139627,1
batch-transform,2048,50,100000,0.5,500,0.015757,0.148367,-0.13261,1
batch-transform,2048,50,100000,0.5,2000,0.015917,0.14837,-0.132453,1
batch-transform,2048,50,100000,0.5,5000,0.015884,0.148329,-0.13244499999999998,1
batch-transform,2048,50,100000,2.0,500,0.016063,0.148373,-0.13231,1
batch-transform,2048,50,100000,2.0,2000,0.015528,0.14839,-0.13286199999999998,1
batch-transform,2048,50,100000,2.0,5000,0.015829,0.148352,-0.132523,1
batch-transform,2048,50,100000,4.0,500,0.01543,0.148412,-0.132982,1
batch-transform,2048,50,100000,4.0,2000,0.015015,0.148404,-0.133389,1
batch-transform,2048,50,100000,4.0,5000,0.016257,0.148351,-0.13209400000000002,1
batch-transform,2048,250,1000,0.5,500,0.000319,0.148113,-0.14779399999999998,1
batch-transform,2048,250,1000,0.5,2000,0.000293,0.148113,-0.14782,1
batch-transform,2048,250,1000,0.5,5000,0.000316,0.148113,-0.14779699999999998,1
batch-transform,2048,250,1000,2.0,500,0.000678,0.148113,-0.14743499999999998,1
batch-transform,2048,250,1000,2.0,2000,0.000585,0.148113,-0.147528,1
batch-transform,2048,250,1000,2.0,5000,0.000635,0.148113,-0.147478,1
batch-transform,2048,250,1000,4.0,500,0.000576,0.148113,-0.147537,1
batch-transform,2048,250,1000,4.0,2000,0.000522,0.148113,-0.147591,1
batch-transform,2048,250,1000,4.0,5000,0.000249,0.148113,-0.147864,1
batch-transform,2048,250,10000,0.5,500,0.001769,0.148134,-0.146365,1
batch-transform,2048,250,10000,0.5,2000,0.001782,0.148137,-0.14635499999999999,1
batch-transform,2048,250,10000,0.5,5000,0.001801,0.148137,-0.146336,1
batch-transform,2048,250,10000,2.0,500,0.00172,0.148136,-0.146416,1
batch-transform,2048,250,10000,2.0,2000,0.00171,0.148137,-0.146427,1
batch-transform,2048,250,10000,2.0,5000,0.001693,0.148137,-0.146444,1
batch-transform,2048,250,10000,4.0,500,0.001645,0.148136,-0.14649099999999998,1
batch-transform,2048,250,10000,4.0,2000,0.002558,0.148138,-0.14558,1
batch-transform,2048,250,10000,4.0,5000,0.001989,0.148138,-0.146149,1
batch-transform,2048,250,50000,0.5,500,0.008065,0.148233,-0.14016800000000001,1
batch-transform,2048,250,50000,0.5,2000,0.007955,0.148242,-0.14028700000000002,1
batch-transform,2048,250,50000,0.5,5000,0.008045,0.148236,-0.140191,1
batch-transform,2048,250,50000,2.0,500,0.007763,0.148243,-0.14048000000000002,1
batch-transform,2048,250,50000,2.0,2000,0.008156,0.148243,-0.14008700000000002,1
batch-transform,2048,250,50000,2.0,5000,0.008365,0.148236,-0.139871,1
batch-transform,2048,250,50000,4.0,500,0.007506,0.148245,-0.14073899999999998,1
batch-transform,2048,250,50000,4.0,2000,0.007494,0.148241,-0.140747,1
batch-transform,2048,250,50000,4.0,5000,0.007901,0.148235,-0.14033400000000001,1
batch-transform,2048,250,100000,0.5,500,0.015774,0.148362,-0.13258799999999998,1
batch-transform,2048,250,100000,0.5,2000,0.015849,0.148369,-0.13252,1
batch-transform,2048,250,100000,0.5,5000,0.015957,0.148325,-0.132368,1
batch-transform,2048,250,100000,2.0,500,0.016365,0.14837,-0.132005,1
batch-transform,2048,250,100000,2.0,2000,0.016842,0.14839,-0.131548,1
batch-transform,2048,250,100000,2.0,5000,0.015876,0.148352,-0.132476,1
batch-transform,2048,250,100000,4.0,500,0.01584,0.148412,-0.132572,1
batch-transform,2048,250,100000,4.0,2000,0.0177,0.148404,-0.13070400000000001,1
batch-transform,2048,250,100000,4.0,5000,0.015751,0.148351,-0.1326,1
enterprise-microservice,512,50,1000,0.5,500,5.5e-05,0.03703,-0.036975,1
enterprise-microservice,512,50,1000,0.5,2000,5.1e-05,0.03703,-0.036979,1
enterprise-microservice,512,50,1000,0.5,5000,5.1e-05,0.03703,-0.036979,1
enterprise-microservice,512,50,1000,2.0,500,8.6e-05,0.03703,-0.036944,1
enterprise-microservice,512,50,1000,2.0,2000,9e-05,0.03703,-0.03694,1
enterprise-microservice,512,50,1000,2.0,5000,9.3e-05,0.037031,-0.036938,1
enterprise-microservice,512,50,1000,4.0,500,0.000111,0.03703,-0.036919,1
enterprise-microservice,512,50,1000,4.0,2000,9.2e-05,0.037031,-0.036939,1
enterprise-microservice,512,50,1000,4.0,5000,8.3e-05,0.03703,-0.036947,1
enterprise-microservice,512,50,10000,0.5,500,0.000351,0.037052,-0.036701000000000004,1
enterprise-microservice,512,50,10000,0.5,2000,0.000351,0.037053,-0.036702000000000005,1
enterprise-microservice,512,50,10000,0.5,5000,0.000352,0.037053,-0.036701000000000004,1
enterprise-microservice,512,50,10000,2.0,500,0.000333,0.037053,-0.03672,1
enterprise-microservice,512,50,10000,2.0,2000,0.000341,0.037053,-0.036712,1
enterprise-microservice,512,50,10000,2.0,5000,0.000332,0.037053,-0.036721000000000004,1
enterprise-microservice,512,50,10000,4.0,500,0.000385,0.037053,-0.036668,1
enterprise-microservice,512,50,10000,4.0,2000,0.000419,0.037055,-0.036635999999999995,1
enterprise-microservice,512,50,10000,4.0,5000,0.000426,0.037057,-0.036631,1
enterprise-microservice,512,50,50000,0.5,500,0.001567,0.037153,-0.035586,1
enterprise-microservice,512,50,50000,0.5,2000,0.001539,0.037156,-0.035617,1
enterprise-microservice,512,50,50000,0.5,5000,0.001566,0.037152,-0.035586,1
enterprise-microservice,512,50,50000,2.0,500,0.001667,0.037159,-0.035491999999999996,1
enterprise-microservice,512,50,50000,2.0,2000,0.001515,0.037158,-0.035642999999999994,1
enterprise-microservice,512,50,50000,2.0,5000,0.001659,0.037153,-0.035494,1
enterprise-microservice,512,50,50000,4.0,500,0.001662,0.03716,-0.035498,1
enterprise-microservice,512,50,50000,4.0,2000,0.001556,0.037156,-0.0356,1
enterprise-microservice,512,50,50000,4.0,5000,0.001507,0.037158,-0.035650999999999995,1
enterprise-microservice,512,50,100000,0.5,500,0.003129,0.037281,-0.034152,1
enterprise-microservice,512,50,100000,0.5,2000,0.003096,0.037279,-0.034183,1
enterprise-microservice,512,50,100000,0.5,5000,0.003145,0.037244,-0.034099,1
enterprise-microservice,512,50,100000,2.0,500,0.003086,0.037285,-0.034199,1
enterprise-microservice,512,50,100000,2.0,2000,0.003005,0.037307,-0.034302,1
enterprise-microservice,512,50,100000,2.0,5000,0.003189,0.037269,-0.03408,1
enterprise-microservice,512,50,100000,4.0,500,0.002664,0.037329,-0.034665,1
